City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
101,Lorengau,PG,2021-12-04 17:57:45,-2.0226,147.2712,83.14,80,100,18.99,overcast clouds
102,Bubaque,GW,2021-12-04 17:57:46,11.2833,-15.8333,81.5,72,12,10.49,few clouds
103,Wageningen,NL,2021-12-04 17:57:46,51.9667,5.6667,43.0,95,75,5.75,broken clouds
104,Yellowknife,CA,2021-12-04 17:57:47,62.456,-114.3525,-27.58,83,1,5.75,clear sky
105,Longyearbyen,SJ,2021-12-04 17:57:47,78.2186,15.6401,19.24,73,75,21.85,broken clouds
106,Padang,ID,2021-12-04 17:54:00,-0.9492,100.3543,78.37,89,100,2.42,overcast clouds
107,San Patricio,US,2021-12-04 17:57:48,28.017,-97.5169,82.49,61,34,11.16,scattered clouds
108,Iranshahr,IR,2021-12-04 17:57:48,27.2025,60.6848,64.74,32,0,4.61,clear sky
109,Ostrovnoy,RU,2021-12-04 17:57:48,68.0531,39.5131,4.32,95,78,5.91,broken clouds
110,Kodiak,US,2021-12-04 17:57:49,57.79,-152.4072,23.59,71,97,3.27,overcast clouds
111,Arkalgud,IN,2021-12-04 17:57:49,12.765,76.0569,66.09,97,99,4.36,overcast clouds
112,Tlaltenango,MX,2021-12-04 17:57:50,19.1667,-98.3333,68.59,25,0,1.72,clear sky
113,Havelock,US,2021-12-04 17:57:50,34.8791,-76.9013,73.98,65,99,4.0,overcast clouds
114,Port Alfred,ZA,2021-12-04 17:57:51,-33.5906,26.891,67.78,94,100,21.63,light rain
115,Torbay,CA,2021-12-04 17:57:52,47.6666,-52.7314,33.58,48,40,25.32,scattered clouds
116,College,US,2021-12-04 17:57:52,64.8569,-147.8028,-34.35,67,1,0.0,clear sky
117,Falmouth,GB,2021-12-04 17:57:53,50.1544,-5.0711,45.5,65,62,27.13,broken clouds
118,Lozova,UA,2021-12-04 17:57:53,48.8894,36.3176,34.03,68,100,7.11,overcast clouds
119,Acajutla,SV,2021-12-04 17:57:53,13.5928,-89.8275,88.63,49,23,3.8,few clouds
120,Provideniya,RU,2021-12-04 17:57:54,64.3833,-173.3,11.14,82,22,6.38,few clouds
121,Bousse,BF,2021-12-04 17:57:54,12.6606,-1.8922,94.57,10,27,9.44,scattered clouds
122,Chokurdakh,RU,2021-12-04 17:57:55,70.6333,147.9167,-40.65,100,84,3.78,broken clouds
123,Kieta,PG,2021-12-04 17:57:55,-6.2167,155.6333,79.03,83,77,4.23,light rain
124,Katsuura,JP,2021-12-04 17:57:55,35.1333,140.3,48.31,58,0,14.83,clear sky
