City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
523,San Cristobal,VE,78.98,broken clouds,7.7669,-72.225,Posada Villaven C.A.
526,Manta,EC,78.58,broken clouds,-0.95,-80.7333,Balandra Hotel
533,Huicungo,PE,91.65,scattered clouds,-7.2833,-76.8,Gran Pajaten Trek
534,Rawson,AR,81.99,clear sky,-43.3002,-65.1023,Hosteria Sampedro
535,Altamira,BR,85.08,moderate rain,-3.2033,-52.2064,Requinte Hotel
538,Am Timan,TD,85.42,clear sky,11.0297,20.2827,Palais du chef Canton Salamt
542,Satipo,PE,83.79,overcast clouds,-11.2522,-74.6386,Bungalows El Palmiche
547,West Bay,KY,84.27,few clouds,19.3667,-81.4167,Calypso Cove
549,Maumere,ID,80.82,light rain,-8.6199,122.2111,Sylvia Hotel
551,Nakambala,ZM,85.96,broken clouds,-15.8324,27.7799,Staff Area
554,Chimoio,MZ,80.46,few clouds,-19.1164,33.4833,Predio Livraria Ahmed
555,Phuket,TH,77.22,broken clouds,8.0,98.25,The Surin
558,Caravelas,BR,79.45,light rain,-17.7125,-39.2481,Pousada dos Navegantes
561,Ovalle,CL,88.83,clear sky,-30.5983,-71.2003,Hotel Altos de Tuqui
563,Monrovia,LR,85.77,broken clouds,6.3005,-10.7969,Sunset Inn
566,La Asuncion,VE,82.24,scattered clouds,11.0333,-63.8628,Colinas de Matasiete
569,Marsh Harbour,BS,75.42,clear sky,26.5412,-77.0636,Abaco Beach Resort
570,Puerto Plata,DO,83.16,scattered clouds,19.7934,-70.6884,Tropical Junior Suite All-Incl Resort Puerto Plata
574,Dhidhdhoo,MV,82.11,few clouds,6.8833,73.1,Dhidhoo beach
577,Bol,TD,80.46,clear sky,13.4586,14.7147,Hotel 3 Etoiles
584,Weligama,LK,77.47,scattered clouds,5.9667,80.4167,Weligama Bay Resort
587,Talara,PE,77.76,clear sky,-4.5772,-81.2719,Hostal Oro Negro
592,Catamarca,AR,78.78,overcast clouds,-28.4696,-65.7852,Amerian Catamarca Park Hotel
595,Savannah Bight,HN,82.0,broken clouds,16.45,-85.85,Villa on Dunbar Rock
598,Ratnagiri,IN,76.51,few clouds,16.9833,73.3,Hotel Landmark
601,Poum,NC,79.25,clear sky,-20.2333,164.0167,Gîte kajeon
602,Labuan,MY,77.16,overcast clouds,5.2767,115.2417,Tiara Labuan Hotel
603,Harper,LR,81.21,broken clouds,4.375,-7.7169,Screensaver
608,Trincomalee,LK,79.54,clear sky,8.5711,81.2335,Welcombe Hotel
612,Buriti Alegre,BR,86.23,scattered clouds,-18.14,-49.0403,Andrey Hotel Churrascaria
613,Honiara,SB,77.67,scattered clouds,-9.4333,159.95,Heritage Park Hotel
615,Le Port,RE,80.6,scattered clouds,-20.9373,55.2919,KORBEY D'OR OUEST
621,Palotina,BR,95.25,clear sky,-24.2839,-53.84,Hotel Granfino
622,Nautla,MX,78.08,clear sky,20.2167,-96.7833,Casa Blanca
627,Galveston,US,81.01,few clouds,29.3669,-94.9669,Comfort Inn & Suites Texas City
631,Sao Felix Do Xingu,BR,82.81,overcast clouds,-6.6447,-51.995,Rio Xingu Camping
637,Acari,PE,82.11,overcast clouds,-15.4311,-74.6158,HOSPEDAJE XIMENA
640,Carahue,CL,79.0,clear sky,-38.7,-73.1667,Hospedaje Familiar
647,Itarema,BR,86.59,broken clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
652,Comodoro Rivadavia,AR,75.06,clear sky,-45.8667,-67.5,Austral Hotel
653,Isabela,PH,79.25,overcast clouds,6.7085,121.9711,Isawad Resort
656,Ranot,TH,78.57,broken clouds,7.7777,100.3213,Pakbanglake resort ปากบางเลค รีสอร์ท
659,Pauini,BR,92.41,broken clouds,-7.7136,-66.9764,Casa do Kiwliks
663,Polewali,ID,77.14,overcast clouds,-3.4324,119.3435,Lilianto Hotel
665,Lodwar,KE,85.73,broken clouds,3.1191,35.5973,Solmar Gracious Hotel
669,Rio Grande,BR,77.11,overcast clouds,-32.035,-52.0986,Hotel Atlântico Rio Grande
670,Xique-Xique,BR,80.01,overcast clouds,-10.8218,-42.7263,Hotel J. Macedo
672,Kalmunai,LK,78.85,few clouds,7.4167,81.8167,VS Villa
674,Binga,ZW,84.7,clear sky,-17.6203,27.3414,Lakeview Inn Binga
677,Guane,CU,82.54,clear sky,22.2025,-84.0875,base de Campismo LosPortales de Guane
679,Morrinhos,BR,82.62,scattered clouds,-17.7311,-49.0994,Hotel Águia
680,Linden,GY,89.74,overcast clouds,6.0,-58.3,Crimson Bat Hotel
681,Manokwari,ID,78.85,overcast clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
682,Puerto Madryn,AR,80.91,clear sky,-42.7692,-65.0385,Hotel Tolosa
