City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
208,Herrin,US,2021-12-02 08:13:24,37.8031,-89.0276,48.34,96,1,3.44
209,Bud,US,2021-12-02 08:13:25,39.447,-86.1758,50.31,96,92,10.98
210,Guerrero Negro,MX,2021-12-02 08:13:25,27.9769,-114.0611,62.69,87,41,7.65
211,Hofn,IS,2021-12-02 08:13:26,64.2539,-15.2082,37.26,99,100,22.41
212,Wau,SS,2021-12-02 08:13:26,7.7029,27.9953,90.16,37,90,1.57
213,Kahului,US,2021-12-02 08:08:31,20.8947,-156.47,76.84,83,1,0.0
214,Pevek,RU,2021-12-02 08:13:27,69.7008,170.3133,-18.96,99,42,4.99
215,Tiksi,RU,2021-12-02 08:13:27,71.6872,128.8694,-29.65,100,68,3.11
216,Hamilton,US,2021-12-02 08:09:56,39.1834,-84.5333,53.64,91,90,1.01
217,Saskylakh,RU,2021-12-02 08:12:12,71.9167,114.0833,-37.82,100,92,1.7
218,Puerto Suarez,BO,2021-12-02 08:13:28,-18.95,-57.8,75.04,82,47,1.9
219,Schwabmunchen,DE,2021-12-02 08:13:28,48.1833,10.75,39.76,84,75,10.36
220,Santa Cruz,BO,2021-12-02 08:13:29,-17.8,-63.1667,71.56,96,100,5.77
221,Esperance,AU,2021-12-02 08:13:29,-33.8667,121.9,65.48,63,28,18.79
222,Barcelos,PT,2021-12-02 08:10:19,41.5388,-8.6151,46.92,85,3,6.85
223,Thoen,TH,2021-12-02 08:13:29,17.6129,99.2161,81.55,54,88,3.33
224,Mamou,GN,2021-12-02 08:13:30,10.5,-12.0,71.87,51,92,1.3
225,Karatu,TZ,2021-12-02 08:13:30,-3.3333,35.6667,75.45,52,57,10.58
226,Nautla,MX,2021-12-02 08:13:31,20.2167,-96.7833,72.77,82,94,3.11
227,Kodiak,US,2021-12-02 08:13:31,57.79,-152.4072,18.91,58,1,29.93
228,Saldanha,ZA,2021-12-02 08:13:31,-33.0117,17.9442,62.1,68,1,21.79
229,Khuzdar,PK,2021-12-02 08:13:32,27.7384,66.6434,66.63,20,0,4.29
230,Fortuna Foothills,US,2021-12-02 08:13:32,32.6578,-114.4119,62.69,27,40,3.44
231,Solnechnyy,RU,2021-12-02 08:14:32,50.7214,136.6319,4.28,94,80,4.54
232,Kaitangata,NZ,2021-12-02 08:14:33,-46.2817,169.8464,57.99,89,100,8.16
233,Tunduma,TZ,2021-12-02 08:14:33,-9.3,32.7667,82.99,31,1,3.02
234,El Tigre,VE,2021-12-02 08:14:34,8.8875,-64.2454,72.01,92,97,10.04
235,Wynyard,AU,2021-12-02 08:14:34,-41.0,145.7167,66.97,75,98,8.97
236,Bathsheba,BB,2021-12-02 08:14:34,13.2167,-59.5167,79.41,83,75,20.71
237,Jizan,SA,2021-12-02 08:14:35,17.3333,42.6667,87.76,37,0,4.43
238,Pangody,RU,2021-12-02 08:14:35,65.85,74.4859,7.34,95,100,19.1
239,Novyy Svit,UA,2021-12-02 08:14:36,47.8059,38.0211,34.12,79,41,8.75
240,Valdivia,CL,2021-12-02 08:12:12,-39.8142,-73.2459,46.49,96,76,3.33
241,Clyde River,CA,2021-12-02 08:14:36,70.4692,-68.5914,8.83,78,100,18.41
242,Pangkalanbuun,ID,2021-12-02 08:14:37,-2.6833,111.6167,89.78,53,99,5.77
243,Lavrentiya,RU,2021-12-02 08:14:37,65.5833,-171.0,-10.95,84,0,5.01
244,Klaksvik,FO,2021-12-02 08:14:37,62.2266,-6.589,34.72,59,100,11.5
245,Havre-Saint-Pierre,CA,2021-12-02 08:14:38,50.2334,-63.5986,23.36,100,75,11.5
246,Port Alfred,ZA,2021-12-02 08:14:38,-33.5906,26.891,67.21,85,100,20.92
247,Constitucion,CL,2021-12-02 08:14:38,-35.3333,-72.4167,51.91,75,23,5.57
248,Muhos,FI,2021-12-02 08:14:39,64.808,25.9931,12.7,100,93,0.36
249,Turochak,RU,2021-12-02 08:14:39,52.2576,87.1224,30.31,64,0,2.1
250,Atambua,ID,2021-12-02 08:14:40,-9.1061,124.8925,83.95,66,59,3.94
251,Khatanga,RU,2021-12-02 08:14:40,71.9667,102.5,-41.71,100,99,2.82
252,Brownfield,US,2021-12-02 08:14:40,33.1812,-102.2744,47.7,31,74,7.58
253,Banjarmasin,ID,2021-12-02 08:14:41,-3.3244,114.591,85.64,69,74,4.83
254,Dali,CN,2021-12-02 08:14:41,25.7,100.1833,61.39,53,99,3.09
255,Camacha,PT,2021-12-02 08:14:41,33.0833,-16.3333,61.56,72,20,14.97
256,Longyearbyen,SJ,2021-12-02 08:14:42,78.2186,15.6401,19.24,86,90,2.3
257,Swinoujscie,PL,2021-12-02 08:14:42,53.9105,14.2471,37.49,96,100,30.33
258,Okha,RU,2021-12-02 08:14:43,53.5739,142.9478,19.65,84,100,40.09
259,Iralaya,HN,2021-12-02 08:14:43,15.0,-83.2333,76.51,86,18,9.8
260,Port Keats,AU,2021-12-02 08:14:43,-14.25,129.55,85.51,64,100,14.0
261,Almaznyy,RU,2021-12-02 08:14:44,48.0448,40.045,35.74,88,6,10.45
262,Mbanza-Ngungu,CD,2021-12-02 08:14:44,-5.25,14.8667,71.76,91,94,4.45
263,Mount Gambier,AU,2021-12-02 08:14:44,-37.8333,140.7667,58.95,61,4,11.61
264,Muros,ES,2021-12-02 08:14:45,42.7762,-9.0603,51.84,94,8,13.82
265,Uvinza,TZ,2021-12-02 08:14:45,-5.1036,30.3911,77.14,67,93,5.7
266,Hovd,MN,2021-12-02 08:14:46,48.0056,91.6419,24.01,41,5,2.62
267,Tasiilaq,GL,2021-12-02 08:14:46,65.6145,-37.6368,24.55,94,99,4.12
268,Port-Cartier,CA,2021-12-02 08:14:46,50.0334,-66.8654,19.71,72,25,7.83
269,Kamenka,RU,2021-12-02 08:14:47,51.3223,42.7678,30.74,62,73,13.47
270,Narsaq,GL,2021-12-02 08:14:47,60.9167,-46.05,28.26,96,100,9.17
271,Airai,TL,2021-12-02 08:14:48,-8.9266,125.4092,70.52,74,65,1.81
272,Necochea,AR,2021-12-02 08:14:48,-38.5473,-58.7368,56.03,86,30,11.86
273,Bar-Le-Duc,FR,2021-12-02 08:14:48,48.75,5.1667,41.18,88,100,13.09
274,Namibe,AO,2021-12-02 08:14:49,-15.1961,12.1522,74.14,75,79,3.56
275,The Pas,CA,2021-12-02 08:14:49,53.8251,-101.2541,5.02,85,1,4.61
276,Awjilah,LY,2021-12-02 08:14:49,29.1081,21.2869,61.05,58,49,6.71
277,Dingle,PH,2021-12-02 08:15:50,10.9995,122.6711,78.66,89,100,9.82
278,Russell,US,2021-12-02 08:15:50,32.3502,-85.1999,53.31,81,1,0.0
279,Pandan,PH,2021-12-02 08:15:51,14.0453,124.1694,78.3,82,96,18.7
280,Xam Nua,LA,2021-12-02 08:15:51,20.4197,104.0439,65.37,39,71,4.21
281,Qax,AZ,2021-12-02 08:15:51,41.4225,46.9242,47.39,45,0,9.1
282,Lompoc,US,2021-12-02 08:15:52,34.6391,-120.4579,67.51,46,100,1.32
283,Tual,ID,2021-12-02 08:15:52,-5.6667,132.75,79.75,81,100,5.28
284,Palmer,US,2021-12-02 08:15:53,42.1584,-72.3287,40.68,80,90,0.0
285,Plainview,US,2021-12-02 08:15:53,40.7765,-73.4673,49.75,76,90,1.01
286,Severo-Kurilsk,RU,2021-12-02 08:15:54,50.6789,156.125,35.67,78,67,23.91
287,New Amsterdam,GY,2021-12-02 08:15:54,6.25,-57.5167,73.0,97,58,2.82
288,Ulaangom,MN,2021-12-02 08:11:49,49.9811,92.0667,14.23,83,70,1.52
289,Arman,RU,2021-12-02 08:15:54,59.7,150.1667,-0.9,98,100,19.86
290,Salalah,OM,2021-12-02 08:14:09,17.0151,54.0924,81.55,43,0,8.88
291,Montabaur,DE,2021-12-02 08:15:55,50.4333,7.8333,38.39,99,100,5.46
292,Batagay,RU,2021-12-02 08:15:55,67.6333,134.6333,-47.38,100,89,1.32
293,Porto Novo,BJ,2021-12-02 08:15:56,6.4965,2.6036,82.22,74,100,4.27
